"Gene","metaRanking","RP"
"FLJ35379",1,1
"RN7SL554P",2,3.027
"LOC100132310",3,4.12
"LOC100132235",4,6.055
"CYTB",5,7.158
"BECN1L1",6,8.819
"LOC100129058",7,10.02
"LOC100133005",8,11.09
"LOC100131124",9,12.28
"ERCC-00092",10,14.3
"MIR525",11,16.22
"COX1",12,16.94
"ND4",13,17.2
"CHMP4BP1",14,18.05
"RNA5SP117",15,19.84
"RN7SKP252",16,20.9
"RN7SKP129",17,21.96
"LOC101928826",18,23.15
"RNA5SP112",19,25.45
"RNU1-115P",20,26.91
"RNU6-1231P",21,27.97
"RN7SL252P",22,29.43
"ACTBP2",23,31.03
"RNU6-307P",24,32.61
"RNU5A-2P",25,33.81
"RN7SKP77",26,35.28
"RN7SL442P",27,36.35
"RN7SL551P",28,37.42
"RP5-882O7.1",29,39.34
"RNU6-297P",30,40.4
"RNU6-815P",31,41.46
"RNU6-828P",32,42.96
"RP6-11O7.2",33,44.02
"LOC100508408",34,45.07
"RN7SKP102",35,46.12
"RNU6-205P",36,47.17
"MIR1244-3",37,48.36
"MYL8P",38,49.41
"RN7SKP271",39,51.44
"ACTG1P1",40,52.64
"LOC100129236",41,53.68
"NOS2P1",42,54.87
"RNU6-123P",43,56.36
"FAM123C",44,57.4
"RN7SKP39",45,58.45
"RNU6-997P",46,59.49
"HMGB1P14",47,60.53
"LOC646851",48,63.87
"RN7SKP292",49,65.06
"LOC440302",50,66.26
"MIR1245",51,67.31
"RNU6-692P",52,68.62
"RN7SL526P",53,69.94
"LOC100128870",54,70.99
"RNU6-382P",55,72.03
"PPP1R14BP5",56,73.66
"RN7SKP20",57,75.14
"LOC100133331",58,76.19
"LOC101929087",59,77.24
"COX2",60,78.94
"RNU6-947P",61,78.99
"RNU6-996P",62,80.71
"RNU6-67P",63,82.17
"RN7SKP79",64,83.21
"RNU6-802P",65,84.92
"RN7SKP136",66,86.37
"LOC100128542",67,87.72
"RNU6-956P",68,88.91
"FXYD6P3",69,90.21
"RN7SL396P",70,91.74
"RNU6-909P",71,93.23
"SDCCAG3P1",72,94.42
"RNU6-1264P",73,95.91
"RNU6-477P",74,96.96
"RN7SKP9",75,98.47
"RNU6-876P",76,100.1
"RNU6-754P",77,101.3
"YBX1P10",78,102.8
"RNU2-40P",79,103.8
"RN7SL745P",80,104.9
"RNA5SP142",81,106.8
"RNU6-940P",82,108
"RN7SKP206",83,109.2
"KRTAP21-3",84,110.3
"RNU6-929P",85,111.3
"NACA3P",86,112.3
"RNU6-365P",87,113.4
"ND5",88,114.7
"RN7SL268P",89,116.2
"RNU2-25P",90,117.3
"RNU6-391P",91,118.3
"RN7SKP123",92,119.8
"RN7SL594P",93,120.8
"RNU6-283P",94,121.9
"RNU2-36P",95,122.9
"RP13-258O15.1",96,124.4
"RN7SL104P",97,125.5
"RN7SKP185",98,126.9
"YBX1P1",99,128.1
"RN7SL420P",100,129.1
"RPL7AP6",101,130.2
"RNU6-823P",102,131.2
"LOC100130800",103,132.3
"LOC100132008",104,133.5
"RNA5SP319",105,134.5
"RN7SKP227",106,135.7
"LOC653162",107,137.3
"RNVU1-8",108,138.4
"RNU1-123P",109,140
"RNU6-451P",110,141
"LOC729770",111,142.6
"RNU6-1095P",112,144.9
"RPL12P2",113,146.1
"ERCC-00134",114,147.4
"RN7SKP85",115,148.6
"RAC1P2",116,149.9
"RN7SL255P",117,151.1
"RN7SKP110",118,152.2
"RN7SL414P",119,155.1
"RNA5SP197",120,156.2
"RNU4-43P",121,157.4
"RNU6-432P",122,158.4
"RNU2-70P",123,159.6
"RN7SL340P",124,160.6
"RPS11P5",125,161.7
"RN7SL146P",126,162.7
"CHCHD2P9",127,163.8
"LOC730291",128,165.3
"RN7SL299P",129,166.3
"SSXP1",130,167.3
"RN7SKP132",131,168.6
"RPL36P18",132,169.7
"RN7SL591P",133,171.2
"RNU6-1261P",134,172.3
"LOC100132228",135,173.3
"RN7SL68P",136,174.4
"LOC100131580",137,175.4
"RPS4XP2",138,176.4
"LOC728661",139,177.4
"LOC100133118",140,178.5
"RNU6-832P",141,180.8
"LOC100128998",142,181.8
"RN7SL530P",143,183.1
"RN7SL269P",144,184.1
"RN7SKP74",145,185.1
"RNU6-142P",146,186.5
"LOC100134461",147,188.3
"RNU6-808P",148,189.5
"RNA5SP154",149,190.5
"LOC728804",150,191.6
"RN7SL810P",151,192.8
"RNU6-361P",152,194.1
"RNU6-769P",153,195.4
"RN7SL614P",154,196.4
"RN7SKP127",155,197.8
"LOC100134217",156,198.8
"RN7SL77P",157,199.8
"RN7SKP115",158,201
"RN7SKP90",159,203.2
"RN7SL177P",160,204.5
"RN7SKP47",161,205.8
"RNU6-424P",162,206.8
"RNA5SP240",163,208
"LOC100131540",164,209.4
"RN7SL413P",165,210.4
"LOC644525",166,211.9
"RNU6-642P",167,213.8
"OR1R1P",168,215.2
"RN7SKP153",169,217.1
"RN7SL466P",170,218.2
"RNU6-1141P",171,219.7
"RN7SKP235",172,222.3
"LOC101928049",173,224.1
"LOC100129514",174,225.2
