"","Gene","metaRanking","RP"
"1","Rn28s1",1,1.149
"2","Rn7sk",2,5.498
"3","mt-Rnr1",3,8.445
"4","CYTB",4,10.89
"5","Gm7222",5,12.51
"6","Gm6344",6,14.5
"7","EG546954",7,16.68
"8","Gprc2a-rs5",8,19.37
"9","G0B-alpha",9,21.44
"10","Gm8973",10,24.11
"11","ND1",11,25.36
"12","mKIAA1108",12,27.74
"13","Gm14296",13,31.15
"14","mt-Rnr2",14,32.92
"15","D130003B22Rik",15,35.42
"16","7530428D23Rik",16,36.96
"17","4833413D08Rik",17,39.55
"18","COX1",18,41.4
"19","ATP6",19,42.97
"20","GPR106",20,44.66
"21","Murr2",21,48.41
"22","EG630579",22,51.89
"23","4930505D03Rik",23,54.08
"24","LOC100045726",24,59.17
"25","2700082O15Rik",25,60.6
"26","LOC100047966",26,63.64
"27","LOC226416",27,65.45
"28","8030475D13Rik",28,66.86
"29","LOC195534",29,69
"30","mt-Cytb",30,70.41
"31","LOC677215",31,71.81
"32","Rdh20",32,73.35
"33","Lba1",33,75.2
"34","OTTMUSG00000010173",34,77.55
"35","LOC100045585",35,78.94
"36","LOC386230",36,80.24
"37","Uba52",37,81.37
"38","LOC386560",38,82.27
"39","4921507O14Rik",39,83.73
"40","ND2",40,85.3
"41","D930046H04Rik",41,87.2
"42","Lrrc67",42,89.57
"43","LOC236397",43,91.75
"44","LOC664822",44,94.1
"45","LOC237504",45,95.55
"46","4731413G05Rik",46,97.83
"47","Tll",47,99.44
"48","BC032266",48,101.1
"49","LOC381360",49,102.5
"50","Nef3",50,104.7
"51","scl00093.1_86",51,106
"52","LOC102642233",52,107.8
"53","LOC384938",53,110.1
"54","Supt4a",54,111.6
"55","Itgb1bp3",55,112.9
"56","2700010E02Rik",56,115.2
"57","scl0003749.1_1",57,116.5
"58","3110001E11Rik",58,118.7
"59","6430702L21Rik",59,121
"60","LOC386552",60,122.3
"61","scl0002292.1_30",61,124.4
"62","LOC224986",62,125.9
"63","LOC100043544",63,128.5
"64","4930522L02Rik",64,131.5
"65","LOC381729",65,133.3
"66","D630041L13Rik",66,134.9
"67","ND4",67,135.8
"68","LOC382230",68,137.2
"69","Cyp11a",69,139.3
"70","B230220E17Rik",70,141.2
"71","5330432B20Rik",71,142.6
"72","mtDNA_ND1",72,144.5
"73","4921509A18Rik",73,145.9
"74","5730557B15Rik",74,147.4
"75","LOC100048046",75,148.7
"76","E130113E03Rik",76,151.8
"77","6330540D07Rik",77,153.7
"78","5430404L10Rik",78,155.3
"79","4930431J08Rik",79,156.5
"80","scl000078.1_211_REVCOMP",80,159.1
"81","LOC213320",81,162.3
"82","LOC270453",82,163.9
"83","LOC100044185",83,165.6
"84","LOC277157",84,166.9
"85","LOC100045505",85,168.3
"86","4930519B02Rik",86,169.9
"87","D230004J03Rik",87,173.6
"88","EG235327",88,174.8
"89","D230012E17Rik",89,176.7
"90","LOC669251",90,178.1
"91","Gabt1",91,179.6
"92","Tect1",92,181
"93","scl000244.1_65",93,182.5
"94","LOC100047888",94,184.2
"95","scl0003456.1_247",95,185.6
"96","LOC382513",96,187.6
"97","E130112H22Rik",97,189.8
"98","LOC385030",98,191
"99","Csna",99,192.5
"100","Rpl21-ps3",100,193.7
"101","LOC100039649",101,196.7
"102","1700112M01Rik",102,198.2
"103","1700124P09Rik",103,199.7
"104","AI844366",104,201.4
"105","Rpl19-ps11",105,203.4
"106","LOC331762",106,205.3
"107","A130071D18Rik",107,207
"108","LOC100046874",108,208.4
"109","LOC665753",109,209.8
"110","C230064B13Rik",110,211.1
"111","6130401L20Rik",111,213.5
"112","Gm318",112,214.8
"113","C230040G06",113,216
"114","IGHV1S57_D13200_Ig_heavy_variable_1S57_245",114,217.9
"115","Trrp7",115,219.6
"116","LOC384892",116,221.8
"117","A630026F04",117,224.5
"118","LOC213043",118,225.9
"119","LOC380723",119,228.1
"120","LOC382418",120,229.5
"121","LOC224098",121,230.8
"122","LOC383616",122,232.3
"123","C030002J06Rik",123,233.5
"124","LOC382708",124,234.8
"125","EG667598",125,236.2
"126","9830164L14Rik",126,237.5
"127","LOC244660",127,240.4
"128","B930053E03Rik",128,242
"129","LOC277924",129,243.4
"130","1110033M05Rik",130,245.2
"131","LOC635720",131,248.8
"132","D130011D22Rik",132,251.5
"133","EG625648",133,252.9
"134","LOC102635760",134,254.2
"135","6030408C04Rik",135,255.6
"136","LOC100044699",136,257.7
"137","LOC100046513",137,259
"138","LOC100044443",138,260.3
"139","LOC406217",139,262.7
"140","LOC380636",140,264.9
"141","BC057170",141,266.1
"142","LOC381958",142,267.9
"143","Rps11-ps2",143,270.6
"144","8430406N16Rik",144,271.9
"145","Nsep1",145,273.2
"146","LOC381593",146,274.5
"147","5-Htr2c",147,276.5
"148","LOC386225",148,277.8
"149","LOC380738",149,279.5
"150","LOC381405",150,281.5
"151","LOC383262",151,283.5
"152","9330129P17Rik",152,285
"153","EG668310",153,286.7
"154","A330004N04Rik",154,288.5
"155","LOC385785",155,290.3
"156","LOC100043444",156,292.3
"157","LOC214456",157,294.5
"158","LOC386346",158,296.2
"159","LOC672264",159,298.5
"160","LOC269527",160,300.6
"161","LOC215538",161,302.2
"162","2210012C09Rik",162,303.7
"163","LOC384028",163,305.5
"164","EG382109",164,306.7
"165","Gukmi1",165,308.1
"166","LOC100045160",166,309.6
"167","LOC100039227",167,311.1
"168","1110001D15Rik",168,312.4
"169","LOC385468",169,314
"170","LOC100045280",170,315.7
"171","Csnd",171,316.9
"172","LOC100048050",172,318.6
"173","D430031C12Rik",173,319.9
"174","COX2",174,321.2
"175","LOC384105",175,322.1
"176","LOC667118",176,323.9
"177","4921507K24Rik",177,325.1
"178","LOC385205",178,327
"179","LOC236365",179,328.7
"180","scl0004052.1_76",180,331.3
"181","3110009G19Rik",181,333.7
"182","scl0003352.1_6",182,335
"183","Gm10657",183,336.4
