"X","Gene","metaRanking","RP"
1,"Rn28s1",1,1.149
2,"Rn7sk",2,5.55
3,"7530428D23Rik",3,6.507
4,"CYTB",4,10.19
5,"mt-Rnr1",5,11.82
6,"EG633120",6,15.97
7,"EG546954",7,17.65
8,"COX1",8,18.16
9,"mt-Rnr2",9,19.1
10,"4833413D08Rik",10,20.34
11,"Rdh20",11,21.99
12,"Gm7222",12,25.75
13,"Gprc2a-rs5",13,28.35
14,"LOC100045585",14,30.37
15,"scl0003749.1_1",15,33.92
16,"ND1",16,35.42
17,"scl000244.1_65",17,38.34
18,"LOC677215",18,42.08
19,"Gm8973",19,43.38
20,"LOC100043544",20,45.58
21,"scl0001544.1_68",21,46.86
22,"G0B-alpha",22,48.39
23,"Gm6344",23,49.91
24,"Murr2",24,51.51
25,"D130003B22Rik",25,53.03
26,"A830027B17Rik",26,54.28
27,"ATP6",27,56.11
28,"mt-Cytb",28,58.15
29,"Lba1",29,59.89
30,"GPR106",30,61.48
31,"Gm77",31,62.71
32,"Cyp11a",32,64.83
33,"6430702L21Rik",33,66.14
34,"8430406N16Rik",34,67.99
35,"4930505D03Rik",35,69.21
36,"A230055P19Rik",36,71.15
37,"Supt4a",37,72.55
38,"mtDNA_ND1",38,74.01
39,"2700082O15Rik",39,77.08
40,"D630041L13Rik",40,78.3
41,"8030475D13Rik",41,80.46
42,"LOC272681",42,82.46
43,"F730015K02Rik",43,85.46
44,"LOC381341",44,87.28
45,"OTTMUSG00000010173",45,89.2
46,"scl0003352.1_6",46,90.77
47,"LOC226416",47,92.16
48,"4921507O14Rik",48,95.16
49,"Itgb1bp3",49,97.46
50,"Csna",50,99.03
51,"LOC635720",51,101.6
52,"Lrrc67",52,102.8
53,"Gm14296",53,104.9
54,"Nef3",54,108.2
55,"EG630579",55,110
56,"4930519B02Rik",56,111.6
57,"LOC386230",57,112.8
58,"Gabt1",58,115
59,"Uba52",59,115.8
60,"Ndrp",60,117.5
61,"D0Kist2",61,119.4
62,"LOC386505",62,121.7
63,"LOC195534",63,122.9
64,"LOC100045280",64,126.1
65,"LOC384717",65,128.8
66,"3732404C04Rik",66,130.3
67,"scl0002292.1_30",67,131.6
68,"AI844366",68,133.6
69,"LOC277157",69,135.1
70,"2700010E02Rik",70,136.3
71,"5330432B20Rik",71,139.3
72,"mKIAA1108",72,140.5
73,"LOC236397",73,143.5
74,"4930431J08Rik",74,145
75,"EG629643",75,146.2
76,"D130011D22Rik",76,150
77,"Cn1a",77,151.5
78,"EG627311",78,153
79,"LOC213043",79,154.6
80,"ND4",80,157.5
81,"1700124P09Rik",81,160.5
82,"1700085A12Rik",82,164.2
83,"LOC382513",83,165.8
84,"LOC100047393",84,167.1
85,"ND2",85,168.1
86,"6130401L20Rik",86,168.3
87,"Trrp7",87,169.5
88,"LOC381729",88,170.7
89,"LOC384938",89,172.5
90,"E130113E03Rik",90,173.7
91,"EG668829",91,176.1
92,"LOC664822",92,177.7
93,"COX2",93,177.7
94,"9830164L14Rik",94,178.9
95,"BC042720",95,180.1
96,"LOC677551",96,181.4
97,"LOC100039649",97,183.7
98,"LOC213320",98,185.1
99,"5430404L10Rik",99,186.8
100,"D930046H04Rik",100,188.3
101,"V2r3",101,189.8
102,"LOC237504",102,191.7
103,"LOC386552",103,193.9
104,"Laf4",104,196.3
105,"9830169E20Rik",105,197.5
106,"E130112H22Rik",106,199.1
107,"LOC386225",107,201
108,"D230012E17Rik",108,202.6
109,"Gm318",109,204
110,"5-Htr2c",110,205.7
111,"Rlbp1l1",111,207.4
112,"LOC224986",112,208.9
113,"LOC667118",113,210.3
114,"LOC100045505",114,212.2
115,"C230064B13Rik",115,213.6
116,"LOC270453",116,215.1
117,"1700112M01Rik",117,217.8
118,"LOC210711",118,219.4
119,"1700013E18Rik",119,221.7
120,"EG625648",120,223
121,"LOC100045726",121,224.9
122,"EG622236",122,226.1
123,"Defcr3",123,228
124,"Gukmi1",124,229.6
125,"scl000078.1_211_REVCOMP",125,231.5
126,"EG432825",126,233.7
127,"Rps11-ps2",127,234.9
128,"LOC666935",128,237
129,"IGHV1S57_D13200_Ig_heavy_variable_1S57_245",129,238.2
130,"LOC100044443",130,239.4
131,"LOC277924",131,240.8
132,"LOC381360",132,242.1
133,"3110001E11Rik",133,243.5
134,"3110009G19Rik",134,244.7
135,"LOC100046513",135,246.5
136,"LOC672498",136,248.3
137,"LOC386560",137,249.5
138,"LOC383376",138,250.7
139,"LOC100047966",139,252.4
140,"2210418G03Rik",140,255
141,"3632432H19Rik",141,257.3
142,"scl00093.1_86",142,259
143,"LOC102635760",143,260.5
144,"EG667598",144,261.8
145,"LOC380703",145,263
146,"LOC229022",146,266.4
147,"Rpl19-ps11",147,267.6
148,"EG384813",148,270.6
149,"4631416I11Rik",149,272
150,"LOC381405",150,273.6
151,"EG235327",151,275
